sku,name,categoria,material,stock,price_usd,has_ref,has_macro,has_desc,published_wc,updated_at,priority_score
WM-HAN-013,Polished Hex Magnetic Hanger,Hanger,Mixed,1,95.0,True,True,True,False,2026-05-30 11:17:59+00:00,104
WM-HAN-014,Captive Bead Ring Hanger,Hanger,Mixed,1,95.0,True,True,True,False,2026-05-30 08:19:35+00:00,104
WM-PLG-007,Amethyst Stone Plug 22mm,Plug,Stone,1,95.0,True,True,True,False,2026-05-28 21:28:13+00:00,104
WM-PLG-009,Silver Sheen Obsidian Plug 16mm,Plug,Stone,1,85.0,True,True,True,False,2026-05-28 21:28:20+00:00,104
WM-PLG-030,Tiger Eye Plug 20mm,Plug,Stone,1,85.0,True,True,True,False,2026-05-20 03:19:42+00:00,104
WM-HAN-002,Tiger Eye Buddha Hanger,Hanger,Mixed,1,80.0,True,True,True,False,2026-05-30 18:54:57+00:00,104
WM-HAN-022,Crown Spine Hanger,Hanger,Mixed,1,75.0,True,True,True,False,2026-06-04 23:19:38+00:00,104
WM-HAN-023,Silver Cobra Light Hanger,Hanger,Silver,1,70.0,True,True,True,False,2026-05-30 11:17:59+00:00,104
WM-HAN-019,Surgical Snake Hanger,Hanger,Stainless steel,1,65.0,True,True,True,False,2026-05-30 08:19:35+00:00,104
WM-TUN-010,Solar Tunnel Dreamcatcher 25mm,Tunnel,Mixed,1,65.0,True,True,True,False,2026-05-20 01:44:29+00:00,104
WM-TUN-020,Black Steel Resin Mosaic Tunnel 16mm,Tunnel,Mixed,1,65.0,True,True,True,False,2026-06-04 21:14:02+00:00,104
WM-HAN-017,Spiral Pendulum Hanger,Hanger,Stainless steel,1,60.0,True,True,True,False,2026-05-20 00:28:20+00:00,104
WM-SAD-009,Ammonite Wood Teardrop Plug,Plug,Mixed,1,60.0,True,True,True,False,2026-05-20 02:06:40+00:00,104
WM-EAR-012,Silver Branch Root Earrings,Earring,Silver,1,55.0,True,True,True,False,2026-06-05 00:59:43+00:00,104
WM-EAR-014,Triangle Hoop Raw Amethyst,Earring,Mixed,1,55.0,True,True,True,False,2026-06-05 00:59:46+00:00,104
WM-HAN-018,Greek Key Magnetic Hanger,Hanger,Stainless steel,1,55.0,True,True,True,False,2026-05-30 18:55:15+00:00,104
WM-HAN-020,Polished Sphere Hanger,Hanger,Stainless steel,1,55.0,True,True,True,False,2026-05-31 23:32:19+00:00,104
WM-HAN-026,Multi-Ring Illusion Hanger,Hanger,Stainless steel,1,55.0,True,True,True,False,2026-06-04 21:14:01+00:00,104
WM-TUN-009,Solar Tunnel Cross Lattice 22mm,Tunnel,Mixed,1,55.0,True,True,True,False,2026-05-14 02:12:50+00:00,104
WM-EAR-006,Triangle Stacked Tribal Earrings,Earring,Brass,1,50.0,True,True,True,False,2026-06-05 00:58:25+00:00,104
WM-EAR-010,Baroque Dagger Earrings,Earring,Brass,1,50.0,True,True,True,False,2026-06-05 00:59:29+00:00,104
WM-EAR-013,Gold Hoop + Obsidian Point,Earring,Mixed,1,50.0,True,True,True,False,2026-06-05 00:58:45+00:00,104
WM-EAR-015,Silver Spike Hoop Earrings,Earring,Silver,1,50.0,True,True,True,False,2026-06-05 00:58:49+00:00,104
WM-HAN-004,Metatron Hanger,Hanger,Mixed,1,50.0,True,True,True,False,2026-05-30 18:55:12+00:00,104
WM-HAN-025,Geometric Twist Magnetic Hanger,Hanger,Stainless steel,1,50.0,True,True,True,False,2026-05-19 04:30:09+00:00,104
WM-TUN-016,Titanium Tunnel 14mm,Tunnel,Titanium,1,50.0,True,True,True,False,2026-05-14 02:27:04+00:00,104
WM-TUN-018,Skull Deer Brass Tunnel,Tunnel,Brass,1,50.0,True,True,True,False,2026-05-30 09:31:39+00:00,104
WM-EAR-003,Chunky Silver Hoops,Earring,Silver,1,45.0,True,True,True,False,2026-06-05 00:59:26+00:00,104
WM-EAR-008,Pyramid Mosaic Triangle Earrings,Earring,Brass,1,45.0,True,True,True,False,2026-05-30 08:19:35+00:00,104
WM-EAR-016,Silver Diamond Star Pendant Earrings,Earring,Silver,1,45.0,True,True,True,False,2026-06-05 00:58:53+00:00,104
WM-HAN-007,Mantra Hanger,Hanger,Brass,1,45.0,True,True,True,False,2026-05-14 03:39:14+00:00,104
WM-PLG-003,Ammonite Plugs,Plug,Mixed,1,45.0,True,True,True,False,2026-05-30 08:19:35+00:00,104
WM-RNG-006,Adjustable Honeycomb Silver Ring,Ring,Silver,1,45.0,True,True,True,False,2026-05-30 08:20:05+00:00,104
WM-TUN-008,Solar Tunnel Flower of Life 14mm,Tunnel,Mixed,1,45.0,True,True,True,False,2026-05-19 04:27:40+00:00,104
WM-TUN-011,Tribal Brass Tunnel 20mm,Tunnel,Brass,1,45.0,True,True,True,False,2026-05-30 09:15:40+00:00,104
WM-TUN-013,Gold Plain Tunnel 16mm,Tunnel,Mixed,1,45.0,True,True,True,False,2026-05-30 08:20:44+00:00,104
WM-TUN-015,Titanium Tunnel 10mm,Tunnel,Titanium,1,45.0,True,True,True,False,2026-05-20 03:21:25+00:00,104
WM-HAN-001,Witral Vilu Hanger,Hanger,Bronze,1,44.0,True,True,True,False,2026-05-28 22:42:40+00:00,104
WM-EAR-002,Diamond Moon Phases Earrings,Earring,Brass,1,40.0,True,True,True,False,2026-06-05 00:59:23+00:00,104
WM-HAN-003,Triangular Tiger Eye Hanger,Hanger,Mixed,1,40.0,True,True,True,False,2026-05-30 18:55:03+00:00,104
WM-PLG-006,Titanium Plug 6mm,Plug,Titanium,1,40.0,True,True,True,False,2026-05-28 21:34:53+00:00,104
WM-PLG-017,Wave Pattern Black Plug 16mm,Plug,Stainless steel,1,40.0,True,True,True,False,2026-05-20 01:52:58+00:00,104
WM-TUN-007,Solar Tunnel Mandala 12mm,Tunnel,Mixed,1,40.0,True,True,True,False,2026-06-04 21:14:02+00:00,104
WM-EAR-011,Silver Om Studs,Earring,Silver,1,35.0,True,True,True,False,2026-06-05 00:59:35+00:00,104
WM-PRC-009,Teardrop Amethyst Piercing,Piercing,Mixed,1,35.0,False,True,True,False,2026-05-30 09:31:39+00:00,104
WM-PRC-021,Snowflake CZ Labret Top,Piercing,Mixed,1,35.0,True,True,True,False,2026-05-20 01:25:49+00:00,104
WM-PRC-024,Kite CZ Cluster Labret,Piercing,Titanium,1,35.0,False,True,True,False,2026-05-30 09:03:56+00:00,104
WM-PRC-026,Ornate Orange/Blue Cluster Labret,Piercing,Titanium,1,35.0,False,True,True,False,2026-05-30 09:03:56+00:00,104
WM-PRC-036,Snake Labret (large),Piercing,Titanium,1,35.0,False,True,True,False,2026-05-30 09:15:40+00:00,104
WM-EAR-004,Tiny Silver Star Studs,Earring,Silver,1,30.0,True,True,True,False,2026-05-19 04:29:18+00:00,104
WM-PLG-002,Floral Mandala Plug,Plug,Mixed,1,30.0,True,True,True,False,2026-05-30 08:19:35+00:00,104
WM-PRC-017,Turquoise Opal Cluster Labret Top,Piercing,Titanium,1,30.0,True,True,True,False,2026-06-04 21:14:02+00:00,104
WM-PRC-020,Bezel Blue Cabochon Labret Top,Piercing,Mixed,1,30.0,True,True,True,False,2026-05-20 01:40:43+00:00,104
WM-PRC-022,Ammonite Spiral Labret,Piercing,Titanium,1,30.0,False,True,True,False,2026-05-30 09:03:56+00:00,104
WM-PRC-025,Pear White Opal Cabochon Labret,Piercing,Titanium,1,30.0,False,True,True,False,2026-05-30 09:03:56+00:00,104
WM-PRC-027,Snake Labret (small),Piercing,Titanium,1,30.0,False,True,True,False,2026-05-30 09:03:56+00:00,104
WM-PRC-028,Round Pink Opal Cabochon Labret,Piercing,Titanium,1,30.0,False,True,True,False,2026-05-30 09:03:56+00:00,104
WM-PRC-030,Snowflake Labret,Piercing,Titanium,1,30.0,False,True,True,False,2026-05-30 09:03:56+00:00,104
WM-PRC-031,Starburst North Star Labret,Piercing,Titanium,1,30.0,False,True,True,False,2026-05-30 09:03:56+00:00,104
WM-PRC-035,Round Green Fire Opal Cabochon Labret,Piercing,Titanium,1,30.0,False,True,True,False,2026-05-30 09:15:40+00:00,104
WM-PRC-037,Round Aurora Opal Cabochon Labret,Piercing,Titanium,1,30.0,False,True,True,False,2026-05-30 09:15:40+00:00,104
WM-PRC-014,Marquise Red CZ Labret Top,Piercing,Mixed,1,25.0,True,True,True,False,2026-05-20 03:19:33+00:00,104
WM-PRC-016,Marquise Green CZ Labret,Piercing,Mixed,1,25.0,True,True,True,False,2026-05-20 03:22:37+00:00,104
WM-PRC-023,Marquise Clear CZ Labret,Piercing,Titanium,1,25.0,False,True,True,False,2026-05-30 09:03:56+00:00,104
WM-PRC-034,Round Champagne CZ Labret,Piercing,Titanium,1,25.0,False,True,True,False,2026-05-30 09:15:39+00:00,104
WM-TUN-022,Purple Marbled Resin Tunnel 10mm,Tunnel,Resin,1,25.0,True,True,True,False,2026-06-01 23:57:39+00:00,104
WM-SAD-006,Polished Gold Saddle Set,Saddle,Mixed,4,95.0,True,True,True,False,2026-05-30 08:20:44+00:00,100
WM-SAD-004,Ornamental Lace Saddle 25mm,Saddle,Mixed,2,95.0,True,True,True,False,2026-05-30 09:31:39+00:00,100
WM-OTH-003,Galo Bronze Ant Sculpture #1,Other,Bronze,1,975.0,True,True,True,False,2026-06-04 21:14:02+00:00,100
WM-SAD-002,Reptile Saddle,Saddle,Mixed,1,95.0,True,True,True,False,2026-05-30 09:31:39+00:00,100
WM-SAD-003,Ornamental Saddle 22mm,Saddle,Mixed,1,95.0,True,True,True,False,2026-05-30 08:20:05+00:00,100
WM-SAD-005,Maya Fan Saddle 25mm,Saddle,Mixed,1,95.0,True,True,True,False,2026-05-30 11:17:59+00:00,100
WM-SAD-001,Ornamental Opal Saddle,Saddle,Mixed,1,75.0,True,True,True,False,2026-05-30 18:55:21+00:00,100
WM-NCK-006,Crackle Bar Necklace,Necklace,Mixed,1,50.0,True,True,True,False,2026-06-05 00:58:55+00:00,100
WM-NCK-007,Crown Sun-Rays Necklace,Necklace,Mixed,1,45.0,True,True,True,False,2026-06-05 00:58:57+00:00,100
WM-EAR-001,Ethnic Shipibo Hoop,Earring,Mixed,2,88.0,True,True,False,False,2026-05-19 03:50:25+00:00,94
WM-PLG-015,Labradorite Stone Plug Collection,Plug,Stone,5,85.0,True,True,True,True,2026-05-30 08:20:05+00:00,86
WM-RNG-001,Ritual Ring Vacamuerta Nº3,Ring,Mixed,1,280.0,True,True,True,True,2026-05-28 21:28:43+00:00,86
WM-HAN-008,Amethyst Teardrop Hanger,Hanger,Mixed,1,95.0,True,True,True,True,2026-05-14 04:09:47+00:00,86
WM-PLG-013,Bronze Spiral Expansion 20mm,Plug,Brass,1,65.0,True,True,True,True,2026-05-30 08:20:05+00:00,86
WM-TUN-014,Medusa Serpent Expanders,Tunnel,Stainless steel,1,65.0,True,True,True,True,2026-05-30 08:20:45+00:00,86
WM-HAN-028,Ornamental Wooden Weights,Hanger,Wood,1,50.0,True,True,True,True,2026-05-30 18:55:17+00:00,86
WM-HAN-029,Geometric Triangular Hanger,Hanger,Stainless steel,1,50.0,True,True,True,True,2026-05-18 01:32:44+00:00,86
WM-PLG-011,Tribal Bell Surgical Steel Expansion,Plug,Stainless steel,1,45.0,True,True,True,True,2026-05-30 08:20:04+00:00,86
WM-PLG-014,Black Wood Smooth Plug 20mm,Plug,Wood,1,45.0,True,True,True,True,2026-05-28 21:34:58+00:00,86
WM-PLG-005,Spiral Pinwheel Plug,Plug,Stainless steel,1,40.0,True,True,True,True,2026-05-28 21:28:02+00:00,86
WM-PRC-006,Onyx Marquise Gold Titanium,Piercing,Mixed,1,40.0,True,True,True,True,2026-05-19 03:55:48+00:00,86
WM-TUN-017,Wood Tunnel Expansion 20mm,Tunnel,Wood,1,40.0,True,True,True,True,2026-05-18 01:32:44+00:00,86
WM-PRC-005,3 Gold Dots Titanium Piercing,Piercing,Titanium,1,30.0,True,True,True,True,2026-05-30 08:20:05+00:00,86
WM-TUN-001,Wood Tunnels,Tunnel,Wood,3,30.0,True,False,True,False,2026-05-14 03:15:32+00:00,86
WM-OTH-002,Octagonal Wooden Sunglasses,Other,Wood,1,120.0,True,True,True,True,2026-05-30 08:19:35+00:00,82
WM-SEP-002,6mm Gold Titanium Septum,Septum,Titanium,1,30.0,True,True,True,True,2026-05-19 04:02:50+00:00,82
WM-SEP-003,6mm Silver Titanium Septum,Septum,Titanium,1,30.0,True,True,True,True,2026-05-19 22:51:15+00:00,82
