reference_id,zone_id,type,x,y,w,h,z,priority,occupancy,color_role,motion_role,anchor
REF_06,upper_title,headline,0.32,0.08,0.6,0.1,2,1,0.82,headline,chroma_echo,canvas
REF_06,fluid_field,hero_field,0.26,0.03,0.71,0.8,1,1,0.82,field,marble,canvas
REF_06,diagnostic_a,floating_panel,0.68,0.32,0.25,0.16,2,2,0.82,panel,drift,canvas
REF_06,diagnostic_b,floating_panel,0.38,0.58,0.3,0.16,2,2,0.82,diagram,drift,canvas
REF_06,lower_title,footer_wordmark,0.26,0.84,0.71,0.12,1,2,0.82,footer,glitch,canvas
REF_07,wordmark,top_headline,0.04,0.02,0.78,0.13,1,1,0.82,rail,static,canvas
REF_07,status_seal,status_seal,0.84,0.02,0.13,0.13,1,2,0.82,data,status,canvas
REF_07,specimen,hero_object,0.04,0.18,0.55,0.7,1,1,0.82,hero,parallax,canvas
REF_07,signal_bridge,signal_node,0.43,0.25,0.28,0.18,2,2,0.82,diagram,pulse,canvas
REF_07,records,data_stack,0.61,0.17,0.35,0.66,1,2,0.82,data,ticker,canvas
REF_07,bottom_strip,technical_footer,0.04,0.89,0.92,0.07,1,2,0.82,footer,scan,canvas
REF_08,echo_headline,repeated_headline,0.03,0.02,0.94,0.16,1,1,0.82,headline,echo,canvas
REF_08,quadrant_a,data_window,0.05,0.2,0.43,0.3,1,1,0.82,diagram,orbit,canvas
REF_08,quadrant_b,perspective_window,0.52,0.2,0.43,0.3,1,1,0.82,portal,advance,canvas
REF_08,quadrant_c,gesture_window,0.05,0.53,0.43,0.29,1,1,0.82,overlay,wave,canvas
REF_08,quadrant_d,semantic_window,0.52,0.53,0.43,0.29,1,1,0.82,hero,glitch,canvas
REF_08,rating_footer,technical_footer,0.05,0.85,0.9,0.1,1,2,0.82,footer,status,canvas
REF_09,headline,top_headline,0.05,0.03,0.9,0.16,1,1,0.82,headline,static,canvas
REF_09,vortex,wireframe_window,0.06,0.22,0.56,0.36,1,1,0.82,diagram,orbit,canvas
REF_09,entrance,perspective_window,0.65,0.22,0.29,0.36,1,1,0.82,portal,advance,canvas
REF_09,terrain,panoramic_panel,0.06,0.62,0.88,0.2,1,2,0.82,data,wave,canvas
REF_09,footer,microtext_footer,0.06,0.85,0.88,0.1,1,2,0.82,microtext,ticker,canvas
REF_10,headline,top_headline,0.05,0.03,0.9,0.13,1,1,0.82,headline,ticker,canvas
REF_10,machine,hero_machine,0.05,0.18,0.9,0.35,1,1,0.82,hero,orbit,canvas
REF_10,controls,control_row,0.05,0.55,0.9,0.1,1,1,0.82,data,status,canvas
REF_10,output_a,diagnostic_window,0.05,0.69,0.43,0.22,1,2,0.82,sequence,mutation,canvas
REF_10,output_b,diagnostic_window,0.52,0.69,0.43,0.22,1,2,0.82,field,counter_rotate,canvas
REF_10,footer,restriction_footer,0.32,0.93,0.4,0.05,1,2,0.82,footer,status,canvas
